dataset_22_mfeat-zernike.arff,7,28,42,15,81,68,55,94,14,27,49,41,80,67,54,97,62,75,88,37,22,31,17,83,57,70,44,33,58,71,84,18,45,93,101,96,32,29,100,36,61,87,74,21,48,34,19,59,72,85,46,79,26,66,13,53,30,16,56,69,95,82,43,98,92,35,86,47,60,73,20,9,99,6,4,5,8,7,3,38,23,102,63,89,76,50,10,24,90,51,25,77,64,11,52,39,40,65,78,91,12
dataset_23_cmc.arff,10,28,42,81,68,55,15,29,32,37,49,62,75,22,88,9,6,33,58,18,71,84,45,31,70,44,57,17,83,80,27,14,54,67,41,36,30,16,21,87,74,61,48,82,69,56,43,8,5,34,19,59,85,72,46,35,86,20,73,60,47,10,4,38,50,89,76,63,23,96,101,100,94,97,93,7,26,66,13,102,95,79,53,3,98,99,92,24,25,11,39,64,90,51,65,77,12,40,91,78,52
dataset_28_optdigits.arff,7,28,42,15,81,68,55,94,14,27,49,41,80,67,54,97,62,75,88,37,22,31,17,83,57,70,44,33,58,71,84,18,45,93,101,96,32,29,100,36,61,87,74,21,48,34,19,59,72,85,46,79,26,66,13,53,30,16,56,69,95,82,43,98,92,35,86,47,60,73,20,9,99,6,4,5,8,7,3,38,23,102,63,89,76,50,10,24,90,51,25,77,64,11,52,39,40,65,78,91,12
dataset_43_haberman.arff,2,28,55,15,42,29,68,81,94,62,22,37,75,49,6,31,88,83,17,44,57,70,9,97,33,18,58,45,84,71,41,101,32,27,14,54,67,80,38,76,89,23,63,50,10,96,93,4,102,36,74,21,48,87,61,100,8,34,72,19,59,95,85,46,30,7,16,56,43,82,69,5,98,35,99,86,20,73,47,60,26,13,66,79,53,92,3,24,25,90,51,11,64,39,77,12,91,78,40,52,65
dataset_44_spambase.arff,9,94,97,6,101,9,37,62,22,49,75,88,55,68,15,42,28,81,93,4,96,41,67,14,80,27,54,31,70,83,57,44,17,10,100,36,74,21,87,61,48,8,76,38,63,23,89,102,50,98,7,99,95,5,85,72,19,59,46,34,30,16,43,69,82,56,32,29,92,3,33,18,71,58,45,84,26,79,13,53,66,35,47,73,86,20,60,24,90,25,64,39,11,77,51,40,12,78,65,91,52
dataset_48_tae.arff,2,28,55,15,42,29,68,81,94,62,22,37,75,49,6,31,88,83,17,44,57,70,9,97,33,18,58,45,84,71,41,101,32,27,14,54,67,80,38,76,89,23,63,50,10,96,93,4,102,36,74,21,48,87,61,100,8,34,72,19,59,95,85,46,30,7,16,56,43,82,69,5,98,35,99,86,20,73,47,60,26,13,66,79,53,92,3,24,25,90,51,11,64,39,77,12,91,78,40,52,65
dataset_50_tic-tac-toe.arff,10,28,42,81,68,55,15,29,32,37,49,62,75,22,88,9,6,33,58,18,71,84,45,31,70,44,57,17,83,80,27,14,54,67,41,36,30,16,21,87,74,61,48,82,69,56,43,8,5,34,19,59,85,72,46,35,86,20,73,60,47,10,4,38,50,89,76,63,23,96,101,100,94,97,93,7,26,66,13,102,95,79,53,3,98,99,92,24,25,11,39,64,90,51,65,77,12,40,91,78,52
fri_c0_1000_5.arff,1,55,81,42,28,68,15,97,6,94,101,9,49,88,62,37,22,75,4,67,41,27,14,54,80,31,17,70,96,57,44,83,29,10,93,36,61,87,48,21,74,38,102,76,89,50,63,23,100,8,98,7,99,59,72,19,46,85,5,33,18,71,58,84,45,34,95,30,56,82,16,43,69,32,26,13,79,53,66,35,60,86,20,73,47,92,3,24,25,90,77,51,39,11,64,78,12,65,40,91,52
fri_c0_100_10.arff,1,55,81,42,28,68,15,97,6,94,101,9,49,88,62,37,22,75,4,67,41,27,14,54,80,31,17,70,96,57,44,83,29,10,93,36,61,87,48,21,74,38,102,76,89,50,63,23,100,8,98,7,99,59,72,19,46,85,5,33,18,71,58,84,45,34,95,30,56,82,16,43,69,32,26,13,79,53,66,35,60,86,20,73,47,92,3,24,25,90,77,51,39,11,64,78,12,65,40,91,52
fri_c0_100_25.arff,1,55,81,42,28,68,15,97,6,94,101,9,49,88,62,37,22,75,4,67,41,27,14,54,80,31,17,70,96,57,44,83,29,10,93,36,61,87,48,21,74,38,102,76,89,50,63,23,100,8,98,7,99,59,72,19,46,85,5,33,18,71,58,84,45,34,95,30,56,82,16,43,69,32,26,13,79,53,66,35,60,86,20,73,47,92,3,24,25,90,77,51,39,11,64,78,12,65,40,91,52
fri_c0_100_5.arff,1,55,81,42,28,68,15,97,6,94,101,9,49,88,62,37,22,75,4,67,41,27,14,54,80,31,17,70,96,57,44,83,29,10,93,36,61,87,48,21,74,38,102,76,89,50,63,23,100,8,98,7,99,59,72,19,46,85,5,33,18,71,58,84,45,34,95,30,56,82,16,43,69,32,26,13,79,53,66,35,60,86,20,73,47,92,3,24,25,90,77,51,39,11,64,78,12,65,40,91,52
fri_c0_100_50.arff,9,94,97,6,101,9,37,62,22,49,75,88,55,68,15,42,28,81,93,4,96,41,67,14,80,27,54,31,70,83,57,44,17,10,100,36,74,21,87,61,48,8,76,38,63,23,89,102,50,98,7,99,95,5,85,72,19,59,46,34,30,16,43,69,82,56,32,29,92,3,33,18,71,58,45,84,26,79,13,53,66,35,47,73,86,20,60,24,90,25,64,39,11,77,51,40,12,78,65,91,52
fri_c0_250_10.arff,1,55,81,42,28,68,15,97,6,94,101,9,49,88,62,37,22,75,4,67,41,27,14,54,80,31,17,70,96,57,44,83,29,10,93,36,61,87,48,21,74,38,102,76,89,50,63,23,100,8,98,7,99,59,72,19,46,85,5,33,18,71,58,84,45,34,95,30,56,82,16,43,69,32,26,13,79,53,66,35,60,86,20,73,47,92,3,24,25,90,77,51,39,11,64,78,12,65,40,91,52
fri_c0_250_25.arff,1,55,81,42,28,68,15,97,6,94,101,9,49,88,62,37,22,75,4,67,41,27,14,54,80,31,17,70,96,57,44,83,29,10,93,36,61,87,48,21,74,38,102,76,89,50,63,23,100,8,98,7,99,59,72,19,46,85,5,33,18,71,58,84,45,34,95,30,56,82,16,43,69,32,26,13,79,53,66,35,60,86,20,73,47,92,3,24,25,90,77,51,39,11,64,78,12,65,40,91,52
fri_c0_250_5.arff,1,55,81,42,28,68,15,97,6,94,101,9,49,88,62,37,22,75,4,67,41,27,14,54,80,31,17,70,96,57,44,83,29,10,93,36,61,87,48,21,74,38,102,76,89,50,63,23,100,8,98,7,99,59,72,19,46,85,5,33,18,71,58,84,45,34,95,30,56,82,16,43,69,32,26,13,79,53,66,35,60,86,20,73,47,92,3,24,25,90,77,51,39,11,64,78,12,65,40,91,52
fri_c0_250_50.arff,9,94,97,6,101,9,37,62,22,49,75,88,55,68,15,42,28,81,93,4,96,41,67,14,80,27,54,31,70,83,57,44,17,10,100,36,74,21,87,61,48,8,76,38,63,23,89,102,50,98,7,99,95,5,85,72,19,59,46,34,30,16,43,69,82,56,32,29,92,3,33,18,71,58,45,84,26,79,13,53,66,35,47,73,86,20,60,24,90,25,64,39,11,77,51,40,12,78,65,91,52
fri_c0_500_10.arff,1,55,81,42,28,68,15,97,6,94,101,9,49,88,62,37,22,75,4,67,41,27,14,54,80,31,17,70,96,57,44,83,29,10,93,36,61,87,48,21,74,38,102,76,89,50,63,23,100,8,98,7,99,59,72,19,46,85,5,33,18,71,58,84,45,34,95,30,56,82,16,43,69,32,26,13,79,53,66,35,60,86,20,73,47,92,3,24,25,90,77,51,39,11,64,78,12,65,40,91,52
fri_c0_500_25.arff,1,55,81,42,28,68,15,97,6,94,101,9,49,88,62,37,22,75,4,67,41,27,14,54,80,31,17,70,96,57,44,83,29,10,93,36,61,87,48,21,74,38,102,76,89,50,63,23,100,8,98,7,99,59,72,19,46,85,5,33,18,71,58,84,45,34,95,30,56,82,16,43,69,32,26,13,79,53,66,35,60,86,20,73,47,92,3,24,25,90,77,51,39,11,64,78,12,65,40,91,52
fri_c0_500_5.arff,1,55,81,42,28,68,15,97,6,94,101,9,49,88,62,37,22,75,4,67,41,27,14,54,80,31,17,70,96,57,44,83,29,10,93,36,61,87,48,21,74,38,102,76,89,50,63,23,100,8,98,7,99,59,72,19,46,85,5,33,18,71,58,84,45,34,95,30,56,82,16,43,69,32,26,13,79,53,66,35,60,86,20,73,47,92,3,24,25,90,77,51,39,11,64,78,12,65,40,91,52
fri_c0_500_50.arff,9,94,97,6,101,9,37,62,22,49,75,88,55,68,15,42,28,81,93,4,96,41,67,14,80,27,54,31,70,83,57,44,17,10,100,36,74,21,87,61,48,8,76,38,63,23,89,102,50,98,7,99,95,5,85,72,19,59,46,34,30,16,43,69,82,56,32,29,92,3,33,18,71,58,45,84,26,79,13,53,66,35,47,73,86,20,60,24,90,25,64,39,11,77,51,40,12,78,65,91,52
fri_c3_100_10.arff,1,55,81,42,28,68,15,97,6,94,101,9,49,88,62,37,22,75,4,67,41,27,14,54,80,31,17,70,96,57,44,83,29,10,93,36,61,87,48,21,74,38,102,76,89,50,63,23,100,8,98,7,99,59,72,19,46,85,5,33,18,71,58,84,45,34,95,30,56,82,16,43,69,32,26,13,79,53,66,35,60,86,20,73,47,92,3,24,25,90,77,51,39,11,64,78,12,65,40,91,52
fri_c3_100_25.arff,1,55,81,42,28,68,15,97,6,94,101,9,49,88,62,37,22,75,4,67,41,27,14,54,80,31,17,70,96,57,44,83,29,10,93,36,61,87,48,21,74,38,102,76,89,50,63,23,100,8,98,7,99,59,72,19,46,85,5,33,18,71,58,84,45,34,95,30,56,82,16,43,69,32,26,13,79,53,66,35,60,86,20,73,47,92,3,24,25,90,77,51,39,11,64,78,12,65,40,91,52
fri_c3_100_50.arff,9,94,97,6,101,9,37,62,22,49,75,88,55,68,15,42,28,81,93,4,96,41,67,14,80,27,54,31,70,83,57,44,17,10,100,36,74,21,87,61,48,8,76,38,63,23,89,102,50,98,7,99,95,5,85,72,19,59,46,34,30,16,43,69,82,56,32,29,92,3,33,18,71,58,45,84,26,79,13,53,66,35,47,73,86,20,60,24,90,25,64,39,11,77,51,40,12,78,65,91,52
