ID,CLASSIFIER,ATTRIBUTESELECTION,SEED,DATASET,FLOW,RANK,CLUSTER,WEIGHTEDAREAUNDERROC,WEIGHTEDFMEASURE,WEIGHTEDPRECISION,WEIGHTEDRECALL,ERRORRATE,TIMEELAPSED
48,logitboost,symmetrical-uncert-attribute-eval,350.0,anneal.arff,load-arff-operator|randomize-operator|class-assigner-operator|symmetrical-uncert-attribute-eval-operator|standardization-operator|cross-validation-fold-maker-operator|logitboost-operator|classifier-performance-evaluator-operator|result-viewer-operator,3,19,0.9915035513512327,0.9876166514454185,0.987948076123412,0.987750556792873,0.012249443207126948,819.0
49,logitboost,symmetrical-uncert-attribute-eval,400.0,anneal.arff,load-arff-operator|randomize-operator|class-assigner-operator|symmetrical-uncert-attribute-eval-operator|standardization-operator|cross-validation-fold-maker-operator|logitboost-operator|classifier-performance-evaluator-operator|result-viewer-operator,3,19,0.9946464602522596,0.9876244715543004,0.9880606852546004,0.987750556792873,0.012249443207126948,822.0
50,logitboost,symmetrical-uncert-attribute-eval,450.0,anneal.arff,load-arff-operator|randomize-operator|class-assigner-operator|symmetrical-uncert-attribute-eval-operator|standardization-operator|cross-validation-fold-maker-operator|logitboost-operator|classifier-performance-evaluator-operator|result-viewer-operator,3,19,0.9901577324199627,0.9864631983796583,0.9869203289727833,0.9866369710467706,0.013363028953229399,818.0
51,logitboost,symmetrical-uncert-attribute-eval,500.0,anneal.arff,load-arff-operator|randomize-operator|class-assigner-operator|symmetrical-uncert-attribute-eval-operator|standardization-operator|cross-validation-fold-maker-operator|logitboost-operator|classifier-performance-evaluator-operator|result-viewer-operator,3,19,0.9950284494974045,0.9876513283403192,0.9882522649729006,0.987750556792873,0.012249443207126948,819.0
52,logitboost,symmetrical-uncert-attribute-eval,550.0,anneal.arff,load-arff-operator|randomize-operator|class-assigner-operator|symmetrical-uncert-attribute-eval-operator|standardization-operator|cross-validation-fold-maker-operator|logitboost-operator|classifier-performance-evaluator-operator|result-viewer-operator,3,19,0.9927372206859953,0.9898595493927363,0.9902070667436356,0.9899777282850779,0.01002227171492205,818.0
53,logitboost,symmetrical-uncert-attribute-eval,600.0,anneal.arff,load-arff-operator|randomize-operator|class-assigner-operator|symmetrical-uncert-attribute-eval-operator|standardization-operator|cross-validation-fold-maker-operator|logitboost-operator|classifier-performance-evaluator-operator|result-viewer-operator,3,19,0.9935730724843882,0.9877892270363169,0.988107757051343,0.987750556792873,0.012249443207126948,818.0
54,logitboost,symmetrical-uncert-attribute-eval,650.0,anneal.arff,load-arff-operator|randomize-operator|class-assigner-operator|symmetrical-uncert-attribute-eval-operator|standardization-operator|cross-validation-fold-maker-operator|logitboost-operator|classifier-performance-evaluator-operator|result-viewer-operator,3,19,0.9937899605027337,0.9877333068370138,0.98794151605649,0.987750556792873,0.012249443207126948,821.0
55,logitboost,symmetrical-uncert-attribute-eval,700.0,anneal.arff,load-arff-operator|randomize-operator|class-assigner-operator|symmetrical-uncert-attribute-eval-operator|standardization-operator|cross-validation-fold-maker-operator|logitboost-operator|classifier-performance-evaluator-operator|result-viewer-operator,3,19,0.9923592646841009,0.9876870879219314,0.988217122568462,0.987750556792873,0.012249443207126948,820.0
56,logitboost,symmetrical-uncert-attribute-eval,750.0,anneal.arff,load-arff-operator|randomize-operator|class-assigner-operator|symmetrical-uncert-attribute-eval-operator|standardization-operator|cross-validation-fold-maker-operator|logitboost-operator|classifier-performance-evaluator-operator|result-viewer-operator,3,19,0.9927115806394066,0.9865885066482106,0.9871271412474302,0.9866369710467706,0.013363028953229399,817.0
57,logitboost,symmetrical-uncert-attribute-eval,800.0,anneal.arff,load-arff-operator|randomize-operator|class-assigner-operator|symmetrical-uncert-attribute-eval-operator|standardization-operator|cross-validation-fold-maker-operator|logitboost-operator|classifier-performance-evaluator-operator|result-viewer-operator,3,19,0.9931858408877193,0.9887711589082387,0.9892026728933021,0.9888641425389755,0.011135857461024499,816.0
